iter	Passed	Remaining
782	34361	9522
783	34405	9478
784	34449	9435
785	34492	9390
786	34535	9346
787	34580	9303
788	34623	9259
789	34668	9215
790	34716	9173
791	34761	9129
792	34805	9085
793	34851	9042
794	34899	8999
795	34948	8956
796	34992	8912
797	35037	8869
798	35084	8826
799	35128	8782
800	35214	8748
801	35286	8711
802	35332	8668
803	35373	8623
804	35416	8579
805	35458	8534
806	35495	8489
807	35539	8444
808	35583	8401
809	35623	8356
810	35667	8312
811	35710	8268
812	35761	8225
813	35805	8181
814	35846	8137
815	35890	8092
816	35933	8048
817	35977	8004
818	36020	7960
819	36058	7915
820	36100	7870
821	36142	7826
822	36185	7782
823	36231	7738
824	36274	7694
825	36314	7649
826	36362	7606
827	36405	7562
828	36447	7518
829	36492	7474
830	36535	7430
831	36582	7386
832	36625	7342
833	36667	7298
834	36709	7254
835	36750	7209
836	36794	7165
837	36839	7121
838	36880	7077
839	36922	7032
840	36964	6988
841	37003	6943
842	37044	6899
843	37088	6855
844	37132	6811
845	37175	6767
846	37218	6723
847	37261	6678
848	37301	6634
849	37344	6590
850	37387	6546
851	37429	6501
852	37473	6457
853	37516	6413
854	37558	6369
855	37602	6325
856	37645	6281
857	37691	6238
858	37733	6193
859	37774	6149
860	37816	6105
861	37859	6061
862	37906	6017
863	37949	5973
864	37990	5929
865	38035	5885
866	38087	5842
867	38129	5798
868	38175	5754
869	38218	5710
870	38267	5667
871	38311	5623
872	38355	5579
873	38399	5535
874	38447	5492
875	38490	5448
876	38534	5404
877	38580	5360
878	38623	5316
879	38666	5272
880	38708	5228
881	38749	5184
882	38794	5140
883	38835	5096
884	38881	5052
885	38924	5008
886	38966	4964
887	39013	4920
888	39057	4876
889	39100	4832
890	39142	4788
891	39189	4744
892	39242	4702
893	39287	4658
894	39329	4614
895	39371	4569
896	39420	4526
897	39463	4482
898	39506	4438
899	39547	4394
900	39596	4350
901	39641	4306
902	39687	4263
903	39725	4218
904	39770	4174
905	39813	4130
906	39859	4087
907	39931	4045
908	39996	4004
909	40052	3961
910	40097	3917
911	40142	3873
912	40186	3829
913	40227	3785
914	40272	3741
915	40312	3696
916	40357	3652
917	40399	3608
918	40441	3564
919	40483	3520
920	40525	3476
921	40568	3432
922	40608	3387
923	40649	3343
924	40691	3299
925	40734	3255
926	40778	3211
927	40821	3167
928	40862	3122
929	40906	3078
930	40943	3034
931	40988	2990
932	41033	2946
933	41076	2902
934	41119	2858
935	41164	2814
936	41208	2770
937	41253	2726
938	41294	2682
939	41336	2638
940	41381	2594
941	41429	2550
942	41472	2506
943	41514	2462
944	41556	2418
945	41600	2374
946	41644	2330
947	41688	2286
948	41734	2242
949	41779	2198
950	41826	2155
951	41870	2111
952	41917	2067
953	41960	2023
954	42004	1979
955	42057	1935
956	42097	1891
957	42145	1847
958	42189	1803
959	42229	1759
960	42275	1715
961	42322	1671
962	42367	1627
963	42410	1583
964	42452	1539
965	42492	1495
966	42535	1451
967	42578	1407
968	42620	1363
969	42661	1319
970	42701	1275
971	42745	1231
972	42787	1187
973	42828	1143
974	42871	1099
975	42911	1055
976	42957	1011
977	43001	967
978	43046	923
979	43089	879
980	43134	835
981	43178	791
982	43222	747
983	43261	703
984	43304	659
985	43346	615
986	43390	571
987	43431	527
988	43473	483
